published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status
2011-09-07,158.00,155.00,152.00,152.00,0.00,2335.00,355220.00,0
2011-09-08,152.00,155.00,155.00,155.00,0.00,27.00,4185.00,0
2011-09-12,155.00,158.00,158.00,158.00,0.00,27.00,4266.00,0
2011-09-15,158.00,161.00,161.00,161.00,0.00,10.00,1610.00,0
2011-09-18,161.00,163.00,163.00,163.00,0.00,20.00,3260.00,0
2011-09-19,163.00,160.00,160.00,160.00,0.00,22.00,3520.00,0
2011-09-20,160.00,163.00,163.00,163.00,0.00,30.00,4890.00,0
2011-10-17,163.00,163.00,163.00,163.00,0.00,50.00,8150.00,0
2011-12-12,163.00,163.00,163.00,163.00,0.00,43.00,7009.00,0
2012-01-18,163.00,134.00,134.00,134.00,0.00,315.00,42210.00,0
2012-02-08,134.00,132.00,132.00,132.00,0.00,71.00,9372.00,0
2012-04-19,132.00,134.00,134.00,134.00,0.00,50.00,6700.00,0
2012-04-29,134.00,133.00,132.00,132.00,0.00,2151.00,284132.00,0
2012-04-30,132.00,130.00,130.00,130.00,0.00,100.00,13000.00,0
2012-05-09,130.00,128.00,128.00,128.00,0.00,2000.00,256000.00,0
2012-05-10,128.00,126.00,126.00,126.00,0.00,248.00,31248.00,0
2012-05-13,126.00,124.00,124.00,124.00,0.00,100.00,12400.00,0
2012-05-14,124.00,122.00,122.00,122.00,0.00,100.00,12200.00,0
2012-05-21,122.00,121.00,120.00,121.00,0.00,340.00,41000.00,0
2012-05-27,121.00,119.00,119.00,119.00,0.00,1000.00,119000.00,0
2012-05-30,119.00,117.00,117.00,117.00,0.00,18.00,2106.00,0
2012-05-31,117.00,115.00,115.00,115.00,0.00,50.00,5750.00,0
2012-06-04,115.00,115.00,115.00,115.00,0.00,100.00,11500.00,0
2012-06-06,115.00,117.00,117.00,117.00,0.00,10.00,1170.00,0
2012-06-07,117.00,119.00,119.00,119.00,0.00,10.00,1190.00,0
2012-06-10,119.00,119.00,117.00,119.00,0.00,30.00,3530.00,0
2012-07-01,119.00,117.00,117.00,117.00,0.00,50.00,5850.00,0
2012-07-12,117.00,115.00,115.00,115.00,0.00,593.00,68195.00,0
2012-07-26,115.00,113.00,113.00,113.00,0.00,123.00,13899.00,0
2012-07-30,113.00,111.00,107.00,107.00,0.00,148.00,16008.00,0
2012-08-01,107.00,105.00,103.00,103.00,0.00,70.00,7250.00,0
2012-08-06,103.00,101.00,100.00,100.00,0.00,400.00,40100.00,0
2012-08-12,100.00,98.00,98.00,98.00,0.00,230.00,22540.00,0
2012-08-13,98.00,97.00,96.00,96.00,0.00,500.00,48200.00,0
2012-08-14,96.00,97.00,96.00,97.00,0.00,358.00,34516.00,0
2012-08-22,97.00,96.00,95.00,95.00,0.00,937.00,89507.00,0
2012-08-29,95.00,94.00,94.00,94.00,0.00,50.00,4700.00,0
2012-08-30,94.00,93.00,89.00,89.00,0.00,1179.00,106321.00,0
2012-09-05,89.00,88.00,88.00,88.00,0.00,58.00,5104.00,0
2012-09-06,88.00,89.00,89.00,89.00,0.00,100.00,8900.00,0
2012-09-17,89.00,88.00,88.00,88.00,0.00,100.00,8800.00,0
2012-09-18,88.00,90.00,89.00,90.00,0.00,357.00,31873.00,0
2012-09-19,90.00,91.00,91.00,91.00,0.00,12.00,1092.00,0
2012-09-20,91.00,92.00,91.00,92.00,0.00,40.00,3660.00,0
2012-09-30,92.00,92.00,92.00,92.00,0.00,200.00,18400.00,0
2012-10-01,92.00,91.00,91.00,91.00,0.00,68.00,6188.00,0
2012-10-01,92.00,91.00,91.00,91.00,0.00,68.00,6188.00,0
2012-10-02,91.00,90.00,90.00,90.00,0.00,111.00,9990.00,0
