published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status
2017-07-10,260.00,260.00,248.00,250.00,0.00,7216.00,1858792.00,0
2017-07-11,250.00,255.00,246.00,250.00,0.00,2555.00,636446.00,0
2017-07-12,250.00,250.00,245.00,250.00,0.00,1985.00,492111.00,0
2017-07-13,250.00,250.00,238.00,243.00,0.00,3924.00,952642.00,0
2017-07-16,243.00,244.00,239.00,241.00,0.00,359.00,86326.00,0
2017-07-17,241.00,257.00,238.00,257.00,0.00,3747.00,904611.00,0
2017-07-18,257.00,272.00,241.00,272.00,0.00,2191.00,544996.00,0
2017-07-20,272.00,267.00,248.00,254.00,0.00,7991.00,2026387.00,0
2017-07-23,254.00,249.00,243.00,246.00,0.00,1556.00,381117.00,0
2017-07-24,246.00,250.00,242.00,250.00,0.00,5596.00,1359019.00,0
2017-07-25,250.00,245.00,233.00,240.00,0.00,8800.00,2098155.00,0
2017-07-26,240.00,252.00,240.00,240.00,0.00,2062.00,501514.00,0
2017-07-27,240.00,244.00,234.00,240.00,0.00,1427.00,341203.00,0
2017-07-30,240.00,247.00,232.00,243.00,0.00,3011.00,703988.00,0
2017-07-31,243.00,239.00,231.00,234.00,0.00,767.00,179767.00,0
2017-08-01,234.00,241.00,231.00,237.00,0.00,1307.00,305419.00,0
2017-08-02,237.00,245.00,231.00,245.00,0.00,2560.00,612031.00,0
2017-08-03,245.00,245.00,231.00,245.00,0.00,3579.00,836294.00,0
2017-08-06,245.00,241.00,229.00,229.00,0.00,5604.00,1296588.00,0
2017-08-07,229.00,227.00,221.00,224.00,0.00,5932.00,1329014.00,0
2017-08-09,224.00,223.00,213.00,214.00,0.00,4429.00,954823.00,0
2017-08-10,214.00,213.00,209.00,212.00,0.00,4095.00,863372.00,0
2017-08-13,212.00,210.00,202.00,207.00,0.00,720.00,148357.00,0
2017-08-15,207.00,207.00,199.00,199.00,0.00,4253.00,852172.00,0
2017-08-16,199.00,204.00,199.00,203.00,0.00,5058.00,1017198.00,0
2017-08-17,203.00,200.00,193.00,193.00,0.00,3813.00,740843.00,0
2017-08-20,193.00,195.00,190.00,193.00,0.00,3083.00,594231.00,0
2017-08-21,193.00,196.00,191.00,193.00,0.00,1275.00,246371.00,0
2017-08-22,193.00,200.00,185.00,195.00,0.00,3573.00,693020.00,0
2017-08-23,195.00,198.00,191.00,198.00,0.00,7952.00,1522825.00,0
2017-08-24,198.00,195.00,190.00,190.00,0.00,1818.00,346675.00,0
2017-08-27,190.00,199.00,187.00,199.00,0.00,2071.00,390754.00,0
2017-08-28,199.00,196.00,187.00,190.00,0.00,1846.00,350774.00,0
2017-08-30,190.00,195.00,186.00,187.00,0.00,906.00,171941.00,0
2017-08-31,187.00,187.00,177.00,178.00,0.00,1179.00,213650.00,0
2017-09-04,178.00,178.00,164.00,168.00,0.00,2177.00,369562.00,0
2017-09-06,168.00,173.00,164.00,167.00,0.00,2252.00,380467.00,0
2017-09-07,167.00,170.00,163.00,165.00,0.00,1202.00,197977.00,0
2017-09-10,165.00,162.00,150.00,156.00,0.00,10680.00,1651139.00,0
2017-09-11,156.00,160.00,154.00,158.00,0.00,1232.00,194834.00,0
2017-09-12,158.00,165.00,157.00,165.00,0.00,1873.00,300540.00,0
2017-09-13,165.00,171.00,161.00,168.00,0.00,479.00,78530.00,0
2017-09-14,168.00,169.00,161.00,169.00,0.00,1192.00,198317.00,0
2017-09-17,169.00,169.00,160.00,166.00,0.00,1094.00,181124.00,0
2017-09-18,166.00,166.00,157.00,160.00,0.00,1364.00,220425.00,0
2017-09-20,160.00,168.00,153.00,168.00,0.00,2268.00,355352.00,0
2017-09-24,168.00,170.00,165.00,167.00,0.00,9458.00,1586589.00,0
2017-09-25,167.00,167.00,167.00,167.00,0.00,15.00,2505.00,0
2017-09-26,167.00,170.00,161.00,162.00,0.00,130.00,21460.00,0
2017-10-03,162.00,160.00,160.00,160.00,0.00,293.00,46880.00,0
2017-10-04,160.00,169.00,160.00,169.00,0.00,1044.00,168658.00,0
2017-10-08,169.00,166.00,160.00,166.00,0.00,8885.00,1448015.00,0
2017-10-09,166.00,167.00,163.00,163.00,0.00,125.00,20550.00,0
2017-10-10,163.00,163.00,157.00,162.00,0.00,179.00,28708.00,0
2017-10-11,162.00,162.00,156.00,162.00,0.00,150.00,23940.00,0
2017-10-12,162.00,164.00,162.00,162.00,0.00,130.00,21190.00,0
2017-10-15,162.00,164.00,162.00,162.00,0.00,332.00,53829.00,0
2017-10-16,162.00,168.00,161.00,168.00,0.00,398.00,65519.00,0
2017-10-17,168.00,169.00,162.00,162.00,0.00,415.00,68435.00,0
2017-10-18,162.00,162.00,157.00,162.00,0.00,206.00,32613.00,0
2017-10-22,162.00,162.00,159.00,159.00,0.00,239.00,38451.00,0
2017-10-23,159.00,165.00,160.00,165.00,0.00,295.00,47528.00,0
2017-10-24,165.00,163.00,160.00,163.00,0.00,265.00,42825.00,0
2017-10-25,163.00,166.00,161.00,161.00,0.00,335.00,54185.00,0
2017-10-29,161.00,165.00,159.00,159.00,0.00,342.00,55663.00,0
2017-10-30,159.00,162.00,157.00,162.00,0.00,95.00,15130.00,0
2017-10-31,162.00,166.00,158.00,161.00,0.00,969.00,157729.00,0
2017-11-01,161.00,165.00,158.00,159.00,0.00,1777.00,285238.00,0
2017-11-02,159.00,160.00,156.00,160.00,0.00,546.00,86235.00,0
2017-11-05,160.00,160.00,156.00,160.00,0.00,1277.00,202741.00,0
2017-11-06,160.00,160.00,154.00,157.00,0.00,754.00,116836.00,0
2017-11-07,157.00,160.00,154.00,159.00,0.00,805.00,127065.00,0
2017-11-08,159.00,159.00,156.00,159.00,0.00,238.00,37416.00,0
2017-11-09,159.00,160.00,151.00,154.00,0.00,601.00,92597.00,0
2017-11-12,154.00,155.00,151.00,154.00,0.00,1690.00,259507.00,0
2017-11-13,154.00,165.00,152.00,165.00,0.00,1185.00,188669.00,0
2017-11-14,165.00,170.00,164.00,164.00,0.00,2315.00,386157.00,0
2017-11-15,164.00,162.00,160.00,160.00,0.00,1307.00,209476.00,0
2017-11-16,160.00,161.00,154.00,155.00,0.00,1701.00,269135.00,0
2017-11-19,155.00,156.00,149.00,154.00,0.00,3157.00,476711.00,0
2017-11-20,154.00,153.00,147.00,147.00,0.00,6626.00,987175.00,0
2017-11-21,147.00,153.00,145.00,153.00,0.00,4060.00,603073.00,0
2017-11-22,153.00,154.00,150.00,150.00,0.00,960.00,146125.00,0
2017-11-23,150.00,163.00,150.00,163.00,0.00,13935.00,2158771.00,0
2017-11-26,163.00,172.00,158.00,172.00,0.00,3801.00,621426.00,0
2017-11-27,172.00,170.00,160.00,166.00,0.00,2848.00,467997.00,0
2017-11-28,166.00,169.00,161.00,164.00,0.00,1950.00,324179.00,0
2017-11-29,164.00,173.00,159.00,172.00,0.00,10954.00,1832488.00,0
2017-11-30,172.00,169.00,163.00,168.00,0.00,8153.00,1333065.00,0
2017-12-04,168.00,174.00,165.00,173.00,0.00,2637.00,451700.00,0
2017-12-05,173.00,184.00,170.00,182.00,0.00,9552.00,1712020.00,0
2017-12-06,182.00,195.00,179.00,194.00,0.00,9024.00,1703432.00,0
2017-12-10,194.00,194.00,179.00,194.00,0.00,3164.00,586181.00,0
2017-12-11,194.00,195.00,181.00,187.00,0.00,1570.00,293025.00,0
2017-12-12,187.00,188.00,180.00,188.00,0.00,1912.00,351813.00,0
2017-12-13,188.00,189.00,177.00,188.00,0.00,2332.00,421461.00,0
2017-12-14,188.00,192.00,182.00,192.00,0.00,1291.00,245183.00,0
2017-12-17,192.00,198.00,182.00,182.00,0.00,564.00,108240.00,0
2017-12-18,182.00,184.00,176.00,184.00,0.00,8867.00,1584912.00,0
2017-12-19,184.00,181.00,172.00,173.00,0.00,489.00,85271.00,0
2017-12-20,173.00,178.00,171.00,178.00,0.00,340.00,59140.00,0
2017-12-21,178.00,175.00,169.00,170.00,0.00,4300.00,735609.00,0
2017-12-24,170.00,176.00,170.00,171.00,0.00,1447.00,249777.00,0
2017-12-26,171.00,172.00,167.00,171.00,0.00,925.00,156920.00,0
2017-12-27,171.00,171.00,164.00,165.00,0.00,1149.00,190198.00,0
2017-12-28,165.00,165.00,159.00,165.00,0.00,1693.00,274210.00,0
2017-12-31,165.00,165.00,159.00,165.00,0.00,1052.00,172012.00,0
2018-01-01,165.00,167.00,162.00,164.00,0.00,1675.00,277745.00,0
2018-01-02,164.00,168.00,161.00,164.00,0.00,1321.00,217279.00,0
2018-01-03,164.00,165.00,158.00,161.00,0.00,407.00,65668.00,0
2018-01-04,161.00,169.00,158.00,162.00,0.00,1380.00,222014.00,0
2018-01-07,162.00,169.00,163.00,169.00,0.00,185.00,30685.00,0
2018-01-08,169.00,169.00,165.00,166.00,0.00,885.00,147425.00,0
2018-01-09,166.00,174.00,165.00,172.00,0.00,4641.00,781361.00,0
2018-01-10,172.00,171.00,169.00,169.00,0.00,640.00,108646.00,0
2018-01-14,169.00,167.00,164.00,164.00,0.00,296.00,49054.00,0
2018-01-16,164.00,162.00,160.00,161.00,0.00,480.00,77416.00,0
